Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
Medium,Libya,Bouri,2012,34
Medium,Iran,Foroozan Blend,2012,242
Medium,Ghana,Jubilee,2012,71.73
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2012,161.68
Medium,Ecuador,Napo,2012,132.18
Medium,Denmark,Danish Crude Blend,2012,175.04
Medium,Congo (Brazzaville),Djeno,2012,175.68
Medium,Colombia,Cusiana,2012,60.5
Medium,Canada,Hibernia,2012,151.07
Medium,Brazil,"Roncador, Tupi, Frade, Jubarte",2012,497.41
Medium,Azerbaijan,Azeri Light,2012,94
Medium,Australia,Gippsland,2012,51.9
Medium,Argentina,Escalante,2012,145.57
Medium,Angola,"Pazflor, Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo",2012,1244.56
Medium,Abu Dhabi,Murban,2012,1350
High,Vietnam,"Su Tu Den, Bach Ho",2012,177
High,United States,"West Texas Sour, West Texas Intermediate",2012,881.11
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami, Usan",2012,666.32
High,Mexico,Maya,2012,1385
High,Malaysia,Tapis,2012,133.3
High,Libya,"Amna, El-Sharara, Es Sider",2012,769
High,Iraq,"Kirkuk, Basrah Light",2012,2941.58
High,Iran,Nowruz-Soroush,2012,150
High,Egypt,Suez Blend,2012,63
High,Ecuador,Oriente,2012,352.5
High,China,"Panyu, Nanhai Light, Changqing",2012,537.79
High,Chad,Doba,2012,101.23
High,Brazil,Marlim,2012,606
High,Australia,Pyrenees,2012,45.9
High,Angola,"Plutonio, Kissanje Blend",2012,306.85
High,Algeria,"Saharan Blend, Algerian Condensate",2012,1346
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2012,843.21
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2012,672.8
Very High,Malaysia,Miri,2012,70
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2012,621
Very High,Iran,"Iran Heavy, Iran Light",2012,2003
Very High,Indonesia,"Duri, Minas",2012,365
Very High,Gabon,Rabi Light,2012,71.6
Very High,Colombia,Castilla,2012,267.6
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2012,780.9
Very High,Australia,Northwest Shelf Condensate,2012,96.7
Very Low,United Kingdom,"Clair, Schiehallion Blend",2013,12
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2013,7010.89
Very Low,Norway,"Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2013,540.83
Very Low,Kuwait,Kuwait,2013,2683
Very Low,Iran,South Pars Condensate,2013,330
Very Low,Egypt,Western Desert Blend,2013,200
Very Low,China,Shengli,2013,539.73
Very Low,Abu Dhabi,Upper Zakum,2013,550
Low,United States,"Mars Blend, Bakken",2013,1037.82
Low,United Kingdom,Flotta Gold,2013,11
Low,Saudi Arabia,Arab Heavy,2013,880
Low,Norway,Skarv,2013,36.5
Low,Nigeria,"Bonny Light, Bonga, Akpo Blend",2013,484.26
Low,Mexico,Isthmus,2013,847
Low,Kazakhstan,Tengiz,2013,157.19
Low,Egypt,Belayim Blend,2013,105
Low,Dubai,Dubai,2013,34
Low,China,"Peng Lai, Daqing",2013,879.13
Low,Brazil,Sapinhoa,2013,28.54
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2013,1615.57
Medium,United Kingdom,Forties Blend,2013,382
Medium,Turkmenistan,Cheleken,2013,73.97
Medium,Saudi Arabia,Arab Extra Light,2013,1250
Medium,Russia,"Siberian Light, Sokol, Urals",2013,9791.82
Medium,Qatar,"Dukhan, Qatar Marine",2013,415
Medium,Norway,"Asgard Blend, Oseberg, Troll",2013,530
Medium,Nigeria,Amenam Blend,2013,81.07
Medium,Neutral Zone,Wafra,2013,147
Medium,Libya,Bouri,2013,37
Medium,Iran,Foroozan Blend,2013,240
Medium,Ghana,Jubilee,2013,97.52
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2013,126.51
Medium,Ecuador,Napo,2013,146.12
Medium,Denmark,Danish Crude Blend,2013,155.88
Medium,Congo (Brazzaville),Djeno,2013,163.84
Medium,Canada,Hibernia,2013,150.96
Medium,Brazil,"Jubarte, Frade, Tupi, Roncador",2013,513.27
Medium,Azerbaijan,Azeri Light,2013,97.5
Medium,Australia,Gippsland,2013,44.98
Medium,Argentina,Escalante,2013,144.04
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba, Pazflor",2013,1111.92
Medium,Abu Dhabi,Murban,2013,1400
High,Vietnam,"Bach Ho, Su Tu Den",2013,182.5
High,United States,"West Texas Intermediate, West Texas Sour",2013,1034.05
High,Nigeria,"Usan, Agbami, Forcados, Erha, Okono Blend",2013,676.9
High,Mexico,Maya,2013,1365
High,Malaysia,Tapis,2013,120
High,Libya,"Es Sider, El-Sharara, Amna",2013,520
High,Iraq,"Basrah Light, Kirkuk",2013,2978.91
High,Iran,Nowruz-Soroush,2013,130
High,Egypt,Suez Blend,2013,58
High,Ecuador,Oriente,2013,361.57
High,China,"Changqing, Nanhai Light, Panyu",2013,585.06
High,Chad,Doba,2013,101.2
High,Brazil,Marlim,2013,577.21
High,Australia,Pyrenees,2013,29.6
