Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Bangladesh,Household,2022,December,Gigawatt-hour,3049.28139
Bangladesh,Power,2021,January,Gigawatt-hour,12346.630141
Bangladesh,Other,2021,January,Gigawatt-hour,3687.946055
Bangladesh,Industrial,2021,January,Gigawatt-hour,6465.554918
Bangladesh,Household,2021,January,Gigawatt-hour,3362.088557
Bangladesh,Power,2021,February,Gigawatt-hour,9133.728452
Bangladesh,Other,2021,February,Gigawatt-hour,2935.140302
Bangladesh,Industrial,2021,February,Gigawatt-hour,4866.479336
Bangladesh,Household,2021,February,Gigawatt-hour,2530.569255
Bangladesh,Power,2021,March,Gigawatt-hour,15515.632077
Bangladesh,Other,2021,March,Gigawatt-hour,1769.020294
Bangladesh,Industrial,2021,March,Gigawatt-hour,6969.617891
Bangladesh,Household,2021,March,Gigawatt-hour,3624.201303
Bangladesh,Power,2021,April,Gigawatt-hour,15773.570163
Bangladesh,Other,2021,April,Gigawatt-hour,1253.708707
Bangladesh,Industrial,2021,April,Gigawatt-hour,6865.838254
Bangladesh,Household,2021,April,Gigawatt-hour,3570.235892
Bangladesh,Power,2021,May,Gigawatt-hour,16183.580704
Bangladesh,Other,2021,May,Gigawatt-hour,603.181984
Bangladesh,Industrial,2021,May,Gigawatt-hour,6768.855923
Bangladesh,Household,2021,May,Gigawatt-hour,3519.80508
Bangladesh,Power,2021,June,Gigawatt-hour,16028.596179
Bangladesh,Other,2021,June,Gigawatt-hour,1382.44003
Bangladesh,Industrial,2021,June,Gigawatt-hour,7020.579116
Bangladesh,Household,2021,June,Gigawatt-hour,3650.70114
Bangladesh,Power,2021,July,Gigawatt-hour,15698.285427
Bangladesh,Other,2021,July,Gigawatt-hour,66.223613
Bangladesh,Industrial,2021,July,Gigawatt-hour,6356.656871
Bangladesh,Household,2021,July,Gigawatt-hour,3305.461573
Bangladesh,Power,2021,August,Gigawatt-hour,15838.19791
Bangladesh,Other,2021,August,Gigawatt-hour,1282.929249
Bangladesh,Industrial,2021,August,Gigawatt-hour,6903.680306
Bangladesh,Household,2021,August,Gigawatt-hour,3589.913759
